Welcome to Advit's Feature Selection Algorithm.
Type in the name of the file to test: 
This dataset has 64 features (not including the class attribute), with 3000 instances.
Running nearest neighbor with all 64 features, using "leaving-one-out" evaluation, I get an accuracy of 68.8%

Type the number of the algorithm you want to run.
1) Forward Selection
2) Backward Elimination

Beginning search.

Using feature(s) {5,7,24,35,44,59} accuracy is 88.8%
Using feature(s) {5,7,24,36,44,59} accuracy is 87.3%
Using feature(s) {5,7,24,37,44,59} accuracy is 87.0%
Using feature(s) {5,7,24,38,44,59} accuracy is 86.6%
Using feature(s) {5,7,24,39,44,59} accuracy is 87.0%
Using feature(s) {5,7,24,40,44,59} accuracy is 87.2%
Using feature(s) {5,7,24,41,44,59} accuracy is 87.9%
Using feature(s) {5,7,24,42,44,59} accuracy is 86.7%
Using feature(s) {5,7,24,43,44,59} accuracy is 87.9%
Using feature(s) {5,7,24,44,45,59} accuracy is 87.1%
Using feature(s) {5,7,24,44,46,59} accuracy is 87.8%
Using feature(s) {5,7,24,44,47,59} accuracy is 87.4%
Using feature(s) {5,7,24,44,48,59} accuracy is 86.5%
Using feature(s) {5,7,24,44,49,59} accuracy is 88.3%
Using feature(s) {5,7,24,44,50,59} accuracy is 87.3%
Using feature(s) {5,7,24,44,51,59} accuracy is 86.9%
Using feature(s) {5,7,24,44,52,59} accuracy is 87.6%
Using feature(s) {5,7,24,44,53,59} accuracy is 87.5%
Using feature(s) {5,7,24,44,54,59} accuracy is 88.2%
Using feature(s) {5,7,24,44,55,59} accuracy is 88.2%
Using feature(s) {5,7,24,44,56,59} accuracy is 88.4%
Using feature(s) {5,7,24,44,57,59} accuracy is 87.4%
Using feature(s) {5,7,24,44,58,59} accuracy is 88.5%
Using feature(s) {5,7,24,44,59,60} accuracy is 88.5%
Using feature(s) {5,7,24,44,59,61} accuracy is 87.6%
Using feature(s) {5,7,24,44,59,62} accuracy is 88.1%
Using feature(s) {5,7,24,44,59,63} accuracy is 87.0%
Using feature(s) {5,7,24,44,59,64} accuracy is 87.5%

Feature set {5,7,24,35,44,59} was best, accuracy is 88.8%

Using feature(s) {1,5,7,24,35,44,59} accuracy is 84.0%
Using feature(s) {2,5,7,24,35,44,59} accuracy is 84.5%
Using feature(s) {3,5,7,24,35,44,59} accuracy is 84.8%
Using feature(s) {4,5,7,24,35,44,59} accuracy is 84.8%
Using feature(s) {5,6,7,24,35,44,59} accuracy is 85.4%
Using feature(s) {5,7,8,24,35,44,59} accuracy is 85.0%
Using feature(s) {5,7,9,24,35,44,59} accuracy is 84.6%
Using feature(s) {5,7,10,24,35,44,59} accuracy is 84.5%
Using feature(s) {5,7,11,24,35,44,59} accuracy is 84.7%
Using feature(s) {5,7,12,24,35,44,59} accuracy is 85.6%
Using feature(s) {5,7,13,24,35,44,59} accuracy is 84.2%
Using feature(s) {5,7,14,24,35,44,59} accuracy is 85.2%
Using feature(s) {5,7,15,24,35,44,59} accuracy is 84.9%
Using feature(s) {5,7,16,24,35,44,59} accuracy is 85.5%
Using feature(s) {5,7,17,24,35,44,59} accuracy is 84.9%
Using feature(s) {5,7,18,24,35,44,59} accuracy is 83.6%
Using feature(s) {5,7,19,24,35,44,59} accuracy is 84.2%
Using feature(s) {5,7,20,24,35,44,59} accuracy is 84.8%
Using feature(s) {5,7,21,24,35,44,59} accuracy is 85.6%
Using feature(s) {5,7,22,24,35,44,59} accuracy is 84.2%
Using feature(s) {5,7,23,24,35,44,59} accuracy is 84.8%
Using feature(s) {5,7,24,25,35,44,59} accuracy is 86.7%
Using feature(s) {5,7,24,26,35,44,59} accuracy is 85.7%
Using feature(s) {5,7,24,27,35,44,59} accuracy is 84.2%
Using feature(s) {5,7,24,28,35,44,59} accuracy is 84.8%
Using feature(s) {5,7,24,29,35,44,59} accuracy is 85.3%
Using feature(s) {5,7,24,30,35,44,59} accuracy is 85.2%
Using feature(s) {5,7,24,31,35,44,59} accuracy is 84.5%
Using feature(s) {5,7,24,32,35,44,59} accuracy is 85.9%
